# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleBridge.before.changed.ms,1774282198792000000,1774282258877000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774282198792000000,1774282258877000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1774282198792000000,1774282258877000000,29
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774282198792000000,1774282258877000000,90
jps.app.storage.content.writer.save.component.ms,1774282198792000000,1774282258877000000,8
jps.global.handle.before.change.events.ms,1774282198792000000,1774282258877000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1774282198792000000,1774282258877000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774282198792000000,1774282258877000000,3
jps.module.iml.entities.serializer.save.entities.ms,1774282198792000000,1774282258877000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1774282198792000000,1774282258877000000,0
jps.library.entities.serializer.load.entities.ms,1774282198792000000,1774282258877000000,15
workspaceModel.mutableEntityStorage.entities.ms,1774282198792000000,1774282258877000000,0
workspaceModel.save.cache.to.file.ms,1774282198792000000,1774282258877000000,285
jps.global.handle.changed.events.ms,1774282198792000000,1774282258877000000,0
jps.facet.change.listener.process.change.events.ms,1774282198792000000,1774282258877000000,1
jps.global.get.library.by.name.ms,1774282198792000000,1774282258877000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1774282198792000000,1774282258877000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774282198792000000,1774282258877000000,20
jps.project.serializers.load.ms,1774282198792000000,1774282258877000000,76
jps.global.get.libraries.ms,1774282198792000000,1774282258877000000,0
jps.load.project.to.empty.storage.ms,1774282198792000000,1774282258877000000,116
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774282198792000000,1774282258877000000,0
workspaceModel.load.cache.from.file.ms,1774282198792000000,1774282258877000000,250
jps.storage.jps.conf.reader.load.component.ms,1774282198792000000,1774282258877000000,13
jps.global.initialize.library.bridges.after.loading.ms,1774282198792000000,1774282258877000000,1
workspaceModel.sync.entities.ms,1774282198792000000,1774282258877000000,0
jps.global.get.library.ms,1774282198792000000,1774282258877000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1774282198792000000,1774282258877000000,6
workspaceModel.moduleManagerBridge.newModule.ms,1774282198792000000,1774282258877000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1774282198792000000,1774282258877000000,7
jps.reload.project.entities.ms,1774282198792000000,1774282258877000000,0
jps.apply.loaded.storage.ms,1774282198792000000,1774282258877000000,19
workspaceModel.moduleBridge.update.option.ms,1774282198792000000,1774282258877000000,0
jps.facet.change.listener.before.change.events.ms,1774282198792000000,1774282258877000000,0
workspaceModel.global.updates.ms,1774282198792000000,1774282258877000000,8
workspaceModel.moduleBridge.facet.initialization.ms,1774282198792000000,1774282258877000000,0
jps.artifact.entities.serializer.save.entities.ms,1774282198792000000,1774282258877000000,0
